stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10392,0446,PALLADIUM / DERREEN,,,45.289525,-75.931935,,,0,,,0,,
9448,0447,GARRY J ARMSTRONG,,,45.437697,-75.682946,,,0,,,0,,
5535,0448,PALLADIUM / TERRY FOX,,,45.300852,-75.908447,,,0,,,0,,
5543,0449,PALLADIUM / SILVER SEVEN,,,45.299542,-75.909822,,,0,,,0,,
3281,0451,GOLFLINKS / PONDHOLLOW,,,45.25812,-75.721407,,,0,,,0,,
10287,0452,KATIMAVIK / MCGIBBON,,,45.307734,-75.900601,,,0,,,0,,
3280,0453,GOLFLINKS / RUSTWOOD,,,45.257095,-75.71741,,,0,,,0,,
10258,0454,KELLY FARM / MIIKANA,,,45.310789,-75.596028,,,0,,,0,,
10259,0455,KELLY FARM / MIIKANA,,,45.311009,-75.596315,,,0,,,0,,
3279,0456,GOLFLINKS / SILBRASS,,,45.254638,-75.718682,,,0,,,0,,
2700,0463,HALTON / KLONDIKE,,,45.350293,-75.941022,,,0,,,0,,
2701,0464,HALTON / WHERNSIDE,,,45.351778,-75.943192,,,0,,,0,,
2702,0465,HALTON / DUNOLLIE,,,45.35518,-75.940608,,,0,,,0,,
2703,0466,FLAMBOROUGH / WOLISTON,,,45.355697,-75.93766,,,0,,,0,,
1251,0467,DEN HAAG / MONTRÉAL,,,45.444087,-75.635505,,,0,,,0,,
1250,0468,DEN HAAG / CARWOOD,,,45.442347,-75.634337,,,0,,,0,,
1249,0469,DEN HAAG / BOREALIS,,,45.440875,-75.633407,,,0,,,0,,
1248,0470,DEN HAAG / MERGANSER,,,45.43958,-75.632255,,,0,,,0,,
2117,0471,DEN HAAG / CARSONS,,,45.441027,-75.627478,,,0,,,0,,
2116,0472,DEN HAAG / BOREALIS,,,45.439643,-75.631253,,,0,,,0,,
2115,0473,DEN HAAG / BOREALIS,,,45.440772,-75.633478,,,0,,,0,,
2114,0474,DEN HAAG / CARWOOD,,,45.442155,-75.634313,,,0,,,0,,
2113,0475,DEN HAAG / MONTRÉAL,,,45.443657,-75.635322,,,0,,,0,,
248,0476,VALIN / TRIM,,,45.472642,-75.456922,,,0,,,0,,
249,0478,VALIN / PROVENCE,,,45.471608,-75.461292,,,0,,,0,,
250,0479,VALIN / WINSOME,,,45.472267,-75.463407,,,0,,,0,,
251,0480,VALIN / DEMETER,,,45.472943,-75.4649,,,0,,,0,,
252,0481,VALIN / FRENETTE,,,45.47439,-75.468422,,,0,,,0,,
6922,0482,FINDLAY CREEK / KELLY FARM,,,45.317057,-75.600163,,,0,,,0,,
6923,0483,KELLY FARM / SHEPODY,,,45.318153,-75.604438,,,0,,,0,,
6924,0484,KELLY FARM / CRESTON VALLEY,,,45.318107,-75.60629,,,0,,,0,,
1929,0485,KELLY FARM / WHITE ALDER,,,45.318813,-75.608327,,,0,,,0,,
1935,0486,KELLY FARM / CRESTON VALLEY,,,45.31809,-75.606043,,,0,,,0,,
7786,0487,KELLY FARM / SHEPODY,,,45.317852,-75.603502,,,0,,,0,,
10033,0488,FINDLAY CREEK / KELLY FARM,,,45.317266,-75.599916,,,0,,,0,,
10251,0489,KELLY FARM / WHITE ALDER,,,45.319199,-75.608472,,,0,,,0,,
10260,0490,KELLY FARM / ZAATIIK,,,45.308736,-75.594426,,,0,,,0,,
10261,0491,KELLY FARM / DUN SKIPPER,,,45.308209,-75.593923,,,0,,,0,,
3248,0492,TENTH LINE / VANGUARD,,,45.458288,-75.486143,,,0,,,0,,
3243,0493,TENTH LINE / VANGUARD,,,45.458455,-75.48662,,,0,,,0,,
10021,0495,VANTAGE / AD. 303,,,45.458809,-75.490131,,,0,,,0,,
10262,0496,DUN SKIPPER / CEDAR CREEK,,,45.309486,-75.589913,,,0,,,0,,
10263,0497,DUN SKIPPER / CEDAR CREEK,,,45.309469,-75.589713,,,0,,,0,,
1477,0500,CARSONS / BERMUDA,,,45.44396,-75.629743,,,0,,,0,,
431,0501,OLD ST PATRICK / DE LA SALLE H.S.,,,45.434259,-75.684993,,,0,,,0,,
5542,0506,500 PALLADIUM,,,45.298342,-75.912762,,,0,,,0,,
8146,0513,WOODROFFE / STRANDHERD,,,45.275268,-75.718462,,,0,,,0,,
5536,0514,PALLADIUM / SILVER SEVEN,,,45.298977,-75.911363,,,0,,,0,,
5537,0515,PALLADIUM / SILVER SEVEN,,,45.298357,-75.91327,,,0,,,0,,
10345,0516,BORBRIDGE / SOUTHBRIDGE,,,45.263375,-75.697084,,,0,,,0,,
10346,0517,BORBRIDGE / STARGAZER,,,45.263487,-75.69533,,,0,,,0,,
10347,0518,BORBRIDGE / BRIAN GOOD,,,45.263956,-75.693508,,,0,,,0,,
10348,0519,BRIAN GOOD / BORBRIDGE,,,45.264464,-75.693049,,,0,,,0,,
9660,0521,PARKWAY / EARL OF MARCH H.S.,,,45.324372,-75.896013,,,0,,,0,,
5541,0522,PALLADIUM / CYCLONE TAYLOR,,,45.296768,-75.919485,,,0,,,0,,
7373,0526,PARKWAY / EARL OF MARCH H.S.,,,45.324043,-75.895675,,,0,,,0,,
1540,0531,CHARLEMAGNE / ST PETERS H.S.,,,45.475892,-75.478307,,,0,,,0,,
10445,0532,CEDARVIEW MIDDLE SCHOOL,,,45.276989,-75.779481,,,0,,,0,,
10056,0533,GRANDVIEW / HASTINGS,,,45.361365,-75.865692,,,0,,,0,,
10447,0538,CEDARVIEW MIDDLE SCHOOL,,,45.276845,-75.77934,,,0,,,0,,
9711,0539,BROADVIEW / NOTRE DAME H.S.,,,45.378662,-75.755524,,,0,,,0,,
8141,0540,CANTERBURY / CANTERBURY H.S.,,,45.388952,-75.626977,,,0,,,0,,
7378,0542,CARRIÈRE / É.S. GARNEAU,,,45.46606,-75.52441,,,0,,,0,,
7374,0548,PROVENCE /  INNES,,,45.467928,-75.459123,,,0,,,0,,
1298,0549,KENDER / OGILVIE,,,45.456072,-75.598972,,,0,,,0,,
7372,0550,OGILVIE / KENDER,,,45.455412,-75.599687,,,0,,,0,,
1508,0554,JEANNE D'ARC / BILBERRY,,,45.48128,-75.532698,,,0,,,0,,
10032,0568,FLANNERY / BROOKFIELD H.S.,,,45.373155,-75.683257,,,0,,,0,,
5538,0570,PALLADIUM / CYCLONE TAYLOR,,,45.296935,-75.919778,,,0,,,0,,
4841,0571,INNES / PROVENCE,,,45.468945,-75.460657,,,0,,,0,,
6891,0572,ABBEYHILL / A.Y. JACKSON H.S.,,,45.29556,-75.880885,,,0,,,0,,
9474,0573,CHARLEMAGNE / PRINCESS LOUISE,,,45.477127,-75.492874,,,0,,,0,,
613,0574,MARCH / AD. 365,,,45.336623,-75.909233,,,0,,,0,,
4098,0580,STITTSVILLE MAIN / UPCOUNTRY,,,45.246422,-75.912365,,,0,,,0,,
7077,0581,STITTSVILLE MAIN / UPCOUNTRY,,,45.245213,-75.912698,,,0,,,0,,
2914,0585,STONEHAVEN / KINGHAVEN,,,45.290998,-75.855645,,,0,,,0,,
1663,0589,INNES / FRANK BENDER,,,45.453075,-75.510867,,,0,,,0,,
4615,0590,INNES / DU GRAND BOIS,,,45.457367,-75.49847,,,0,,,0,,
4616,0591,INNES / AD. 4270,,,45.457883,-75.49661,,,0,,,0,,
4617,0592,INNES / LANTHIER,,,45.459408,-75.492652,,,0,,,0,,
5739,0594,INNES / TENTH LINE,,,45.460903,-75.48697,,,0,,,0,,
243,0595,INNES / TRIM,,,45.470678,-75.45371,,,0,,,0,,
10130,0596,BOOTH / ZAIDA EDDY,,,45.419799,-75.717526,,,0,,,0,,
10131,0597,BOOTH / CHAUDIÈRE,,,45.420366,-75.71772,,,0,,,0,,
4625,0598,INNES / TENTH LINE,,,45.460657,-75.488908,,,0,,,0,,
4627,0599,INNES / AD. 4270,,,45.457947,-75.497142,,,0,,,0,,
136,0605,MERIVALE / BENTLEY,,,45.331195,-75.72186,,,0,,,0,,
135,0606,MERIVALE / BONGARD,,,45.329605,-75.720978,,,0,,,0,,
5768,0610,PINE HILL / STONEHAVEN,,,45.29025,-75.850788,,,0,,,0,,
5747,0611,PINE HILL / WINDFIELD,,,45.290568,-75.850472,,,0,,,0,,
5767,0612,PINE HILL / PEREGRINE,,,45.291705,-75.849763,,,0,,,0,,
5748,0613,PINE HILL / WINDFIELD,,,45.291728,-75.849637,,,0,,,0,,
5766,0614,PINE HILL / WATERTRUSH,,,45.293858,-75.849978,,,0,,,0,,
5749,0615,PINE HILL / NIGHTHAWK,,,45.29405,-75.849993,,,0,,,0,,
5765,0616,PINE HILL / OSPREY,,,45.29649,-75.852442,,,0,,,0,,
5750,0617,PINE HILL / OSPREY,,,45.296657,-75.8526,,,0,,,0,,
4049,0618,FRINGEWOOD / CLOVERLOFT,,,45.28046,-75.912992,,,0,,,0,,
4040,0619,FRINGEWOOD / CLOVERLOFT,,,45.28046,-75.912897,,,0,,,0,,
4050,0620,FRINGEWOOD / LAZY NOL,,,45.278727,-75.911887,,,0,,,0,,
4039,0621,FRINGEWOOD / LAZY NOL,,,45.27833,-75.911562,,,0,,,0,,
4051,0622,FRINGEWOOD / POOLE CREEK,,,45.275015,-75.910138,,,0,,,0,,
4038,0623,FRINGEWOOD / WOODWIND,,,45.27477,-75.9099,,,0,,,0,,
3329,0624,LONGFIELDS / CAMBRIAN,,,45.257175,-75.728987,,,0,,,0,,
2790,0630,EAGLESON / CADENCE,,,45.284433,-75.865937,,,0,,,0,,
10383,0631,MONTRÉAL / OLMSTEAD,,,45.43587,-75.66201,,,0,,,0,,
2759,0633,BRIDGESTONE / WINDWAYS,,,45.277512,-75.859452,,,0,,,0,,
2787,0634,BRIDGESTONE / WINDWAYS,,,45.277598,-75.85942,,,0,,,0,,
8358,0635,BRIDGESTONE / FOXHALL,,,45.286578,-75.857902,,,0,,,0,,
2782,0636,BRIDGESTONE / FOXHALL,,,45.286833,-75.857973,,,0,,,0,,
2765,0637,BRIDGESTONE / EQUESTRIAN,,,45.289328,-75.85845,,,0,,,0,,
2781,0638,BRIDGESTONE / EQUESTRIAN,,,45.289027,-75.858433,,,0,,,0,,
10070,0639,WALLER / NICHOLAS,,,45.424534,-75.687169,,,0,,,0,,
5001,0640,SOUTHVALE / RUSSELL,,,45.394377,-75.610082,,,0,,,0,,
5003,0641,SOUTHVALE / BARRYMORE,,,45.397515,-75.611107,,,0,,,0,,
5004,0642,SOUTHVALE / DELRIDGE,,,45.39889,-75.6133,,,0,,,0,,
5005,0643,SOUTHVALE / ERINBROOK,,,45.399217,-75.617027,,,0,,,0,,
10047,0644,WALLER / LAURIER E,,,45.424434,-75.687027,,,0,,,0,,
594,0645,HERZBERG / CARLING,,,45.338205,-75.896613,,,0,,,0,,
593,0646,HERZBERG / BAYFIELD,,,45.335733,-75.895095,,,0,,,0,,
592,0647,HERZBERG / MARCH,,,45.333755,-75.893872,,,0,,,0,,
9524,0648,HERZBERG / MARCH,,,45.333317,-75.89389,,,0,,,0,,
